id,language_iso639_code,translation
4,ja,人文系を中心とした多様性のある学位で、批判的思考力、コミュニケーション力、分析力を育成します。芸術、人文科学、言語などのさまざまな専攻から選択でき、教育、公務、メディア、さらには大学院進学など、多彩なキャリアパスに対応できる柔軟性を備えています。
4,vi,"Chương trình thuộc khoa học xã hội và nhân văn đa dạng, nâng cao tư duy phản biện, kỹ năng giao tiếp và phân tích trong các lĩnh vực nghệ thuật, khoa học xã hội và ngôn ngữ. Sinh viên có thể lựa chọn chuyên ngành để chuẩn bị cho sự nghiệp trong giáo dục, công tác xã hội, truyền thông hoặc tiếp tục học cao hơn."
5,en,"This academically rigorous degree delves into the study of living organisms—spanning molecular biology, ecology, and genetics. It’s ideal for students aiming for careers in research, healthcare, or environmental conservation, and serves as a strong foundation for postgraduate study."
5,ja,分子生物学、エコロジー、遺伝学を含む生物学の学術的研究を深く掘り下げる厳格な学位です。研究職、医療・ヘルスケア、環境保全などの分野を志す学生に理想的であり、大学院でのさらなる学びにも堅固な基盤を提供します。
5,vi,"Chương trình khắt khe về học thuật, đào sâu nghiên cứu sinh vật sống từ sinh học phân tử, sinh thái đến di truyền học. Phù hợp với sinh viên mong muốn theo đuổi sự nghiệp nghiên cứu, chăm sóc sức khỏe hoặc bảo tồn môi trường, đồng thời là nền tảng vững chắc cho học lên cao học."
6,en,"A multidisciplinary science degree that builds core expertise in biology, chemistry, physics and statistics, with a strong focus on applying biomedical concepts in clinical, academic and industrial research settings."
6,ja,生物学、化学、物理学、統計学の基礎を幅広く学びつつ、臨床・学術・産業研究の場でバイオメディカルの概念を応用する能力を養う学際的な理学士号です。
6,vi,"Chương trình khoa học đa ngành xây dựng chuyên môn cốt lõi về sinh học, hóa học, vật lý và thống kê, với trọng tâm mạnh về ứng dụng các khái niệm y-sinh học trong bối cảnh nghiên cứu lâm sàng, học thuật và công nghiệp."
7,en,"A broad-based business degree covering core areas such as management, marketing, finance and entrepreneurship, designed to develop analytical thinking, leadership skills and real-world experience through projects and placements."
7,ja,マネジメント、マーケティング、ファイナンス、アントレプレナーシップなどのコア分野を網羅し、プロジェクトや実習を通じて分析力、リーダーシップ、実践経験を育成する幅広いビジネス学士号です。
7,vi,"Chương trình cử nhân kinh doanh toàn diện bao gồm các lĩnh vực cốt lõi như quản lý, marketing, tài chính và khởi nghiệp, thiết kế để phát triển tư duy phân tích, kỹ năng lãnh đạo và kinh nghiệm thực tiễn thông qua các dự án và thực tập."
8,en,"A professionally oriented degree that sharpens analytical, communication and problem-solving skills, offering a global business perspective and opportunities for internships, industry projects and networking."
8,ja,分析力、コミュニケーション力、問題解決力を磨き、グローバルなビジネス視点を身につける職業志向の学士号です。インターンシップ、産業プロジェクト、ネットワーキングの機会を通じて実務対応力を強化します。
8,vi,"Chương trình cử nhân có định hướng nghề nghiệp, rèn luyện kỹ năng phân tích, giao tiếp và giải quyết vấn đề, đồng thời mang đến góc nhìn kinh doanh toàn cầu và cơ hội thực tập, tham gia dự án công nghiệp và kết nối mạng lưới chuyên nghiệp."
9,en,"An academic degree exploring Earth’s physical systems—geology, geophysics, climate and environmental change—combining laboratory analysis with extensive fieldwork to prepare students for research or industry roles."
9,ja,地質学、地球物理学、気候変動、環境変化など地球の物理的システムを探究する学術的学位です。実験室での分析とフィールドワークを融合させ、研究職や産業界で活躍するための実践的知識と技術を身につけます。
9,vi,"Chương trình học thuật khám phá hệ thống vật lý của Trái Đất—địa chất, địa vật lý, khí hậu và biến đổi môi trường—kết hợp phân tích trong phòng thí nghiệm với thực địa rộng khắp để chuẩn bị cho sinh viên các vai trò nghiên cứu hoặc công nghiệp."
10,en,"A rigorous economics degree providing core training in microeconomics, macroeconomics and quantitative methods, with elective modules across areas such as development, finance and policy analysis for careers in research, government or industry."
10,ja,ミクロ経済学、マクロ経済学、定量的手法の基礎トレーニングを提供し、開発経済学、ファイナンス、政策分析などの選択科目を通じて研究、政府機関、産業界でのキャリアに必要な理論と実践力を養う厳格な経済学士号です。
10,vi,"Chương trình cử nhân kinh tế nghiêm ngặt cung cấp đào tạo cơ bản về kinh tế vi mô, kinh tế vĩ mô và phương pháp định lượng, kèm theo các học phần tự chọn trong các lĩnh vực như phát triển, tài chính và phân tích chính sách, hỗ trợ cho sự nghiệp trong nghiên cứu, cơ quan chính phủ hoặc công nghiệp."
11,en,"A professionally oriented degree that combines core engineering theory with hands-on design projects and industry placements. Students develop practical problem-solving skills and technical expertise across disciplines (e.g., civil, mechanical, electrical), preparing them for professional practice or further specialisation."
11,ja,この学位は、基礎的な工学理論と実践的なデザインプロジェクトやインターンシップを組み合わせた職業志向のプログラムです。土木、機械、電気など複数の分野にわたる問題解決能力と技術的専門知識を養い、専門技術者としての実務やさらなる専門分野での活躍に備えます。
11,vi,"Chương trình đào tạo hướng nghề nghiệp kết hợp lý thuyết kỹ thuật cốt lõi với các dự án thiết kế thực hành và thực tập trong ngành. Sinh viên phát triển kỹ năng giải quyết vấn đề thực tiễn và chuyên môn kỹ thuật trong các lĩnh vực như xây dựng, cơ khí, điện, sẵn sàng cho thực hành chuyên nghiệp hoặc chuyên sâu hơn."
12,en,"An interdisciplinary programme integrating design, architecture, urban planning and sustainability. Through studio projects and real-world collaborations, students learn to shape functional, environmentally conscious built environments and to apply human-centred design principles at multiple scales."
12,ja,デザイン、建築、都市計画、持続可能性を統合した学際的プログラムです。スタジオプロジェクトや実務連携を通じて、環境に配慮した機能的な建築・都市空間を創造し、多様なスケールで人間中心のデザイン原則を適用する方法を学びます。
12,vi,"Chương trình liên ngành tích hợp thiết kế, kiến trúc, quy hoạch đô thị và phát triển bền vững. Thông qua các dự án tại studio và hợp tác thực tế, sinh viên học cách hình thành không gian xây dựng chức năng, thân thiện với môi trường và áp dụng nguyên tắc thiết kế lấy con người làm trung tâm ở nhiều quy mô."
13,en,"This degree examines human impacts on natural systems using critical review, systematic observation, experimentation and rigorous data analysis. Graduates are equipped to assess environmental challenges and develop science-based solutions for conservation, resource management, and policy."
13,ja,本学位は、批判的な文献検討、系統的な観察、実験、厳密なデータ分析を駆使して自然システムへの人間の影響を検証します。卒業生は、保全、資源管理、政策策定において科学的根拠に基づく解決策を立案・実行する能力を身につけます。
13,vi,"Chương trình nghiên cứu tác động của con người lên các hệ sinh thái tự nhiên thông qua đánh giá phê bình, quan sát có hệ thống, thí nghiệm và phân tích dữ liệu nghiêm ngặt. Sinh viên được trang bị năng lực đánh giá thách thức môi trường và phát triển giải pháp khoa học cho bảo tồn, quản lý tài nguyên và chính sách."
14,en,"An interdisciplinary programme exploring human function and behaviour through biological, developmental, ecological and cultural perspectives. Students build analytical, critical-thinking and problem-solving skills to understand how genetics, environment and society interact, preparing for honours research or diverse scientific careers."
14,ja,生物学的、発達的、生態学的、文化的視点から人間の機能と行動を探求する学際的プログラムです。分析力、批判的思考力、問題解決能力を養い、遺伝、環境、社会の相互作用を総合的に理解することで、優秀研究や多様な科学分野でのキャリアに備えます。
14,vi,"Chương trình liên ngành khám phá chức năng và hành vi con người dưới góc độ sinh học, phát triển, sinh thái và văn hóa. Sinh viên rèn luyện kỹ năng phân tích, tư duy phản biện và giải quyết vấn đề để hiểu cách di truyền, môi trường và xã hội tương tác, chuẩn bị cho nghiên cứu danh dự hoặc sự nghiệp khoa học đa dạng."
15,en,"This degree combines marine biology with physical oceanography, focusing on ecosystem interactions across coastal and open-ocean environments. Through laboratory work, field excursions and data analysis, students gain practical experience in studying and managing marine ecosystems under global change."
15,ja,本学位は、海洋生物学と物理海洋学を融合し、沿岸および外洋環境における生態系の相互作用に注目します。実験室実習、フィールド調査、データ分析を通じて、地球規模の変化下での海洋生態系の研究および管理に必要な実践的なスキルを習得します。
15,vi,"Chương trình kết hợp sinh vật biển và hải dương học vật lý, tập trung vào tương tác hệ sinh thái ở vùng ven và đại dương mở. Thông qua thí nghiệm phòng lab, chuyến đi thực địa và phân tích dữ liệu, sinh viên tích lũy kinh nghiệm thực tiễn trong nghiên cứu và quản lý hệ sinh thái biển dưới tác động biến đổi toàn cầu."
16,en,"A science-driven degree that teaches students to understand life at the molecular level—from DNA and proteins to complex cellular systems. It combines rigorous laboratory training with cutting-edge analytical techniques, preparing graduates for research or industry roles in the biosciences."
16,ja,分子レベルから生命を理解することを目的とした理学士号です。DNAやタンパク質から複雑な細胞システムまで学び、厳格な実験室トレーニングと最先端の分析手法を組み合わせることで、バイオサイエンス分野の研究職や産業界で活躍できる能力を養います。
16,vi,"Chương trình khoa học tập trung vào cấp độ phân tử, từ DNA và protein đến các hệ thống tế bào phức tạp. Kết hợp đào tạo nghiêm ngặt trong phòng thí nghiệm với các kỹ thuật phân tích tiên tiến, chương trình trang bị cho sinh viên kiến thức và kỹ năng cần thiết cho nghiên cứu hoặc công việc trong ngành sinh học."
17,en,"An interdisciplinary honours degree focused on deep philosophical enquiry and independent research. Students engage with core areas such as ethics, metaphysics, and logic, and complete a substantial research thesis under academic supervision."
17,ja,倫理学、形而上学、論理学などを深く探究し、独立した研究を行うことに重点を置いた学際的な優等学位です。学術指導のもとで大規模な研究論文を作成し、自らの哲学的問いを体系的に検証する力を身につけます。
17,vi,"Chương trình danh dự liên ngành, tập trung vào nghiên cứu triết học sâu rộng và các dự án nghiên cứu độc lập. Sinh viên tìm hiểu các lĩnh vực cốt lõi như đạo đức học, siêu hình học và logic, đồng thời thực hiện luận văn nghiên cứu lớn dưới sự hướng dẫn của giảng viên."
18,en,"A scientific programme exploring human thoughts, emotions and behaviours. Through foundational courses in research methods, neuropsychology and developmental psychology, plus supervised research projects, it prepares students for careers in mental health, counselling, or further study."
18,ja,人間の思考、感情、行動を科学的に探求するプログラムです。研究方法論、神経心理学、発達心理学の基礎を学び、指導教員の下で研究プロジェクトを実施することで、メンタルヘルスやカウンセリング、さらなる研究への道を志す学生を支援します。
18,vi,"Chương trình khoa học khám phá tư duy, cảm xúc và hành vi con người. Thông qua các khóa học cơ bản về phương pháp nghiên cứu, thần kinh tâm lý học và tâm lý học phát triển, cùng với các dự án nghiên cứu có giám sát, sinh viên được trang bị để theo đuổi sự nghiệp trong lĩnh vực sức khỏe tâm thần, tư vấn, hoặc học lên cao hơn."
19,en,"A broad academic degree that provides a foundation in scientific principles, quantitative methods and research skills. Students choose a major (e.g., biology, chemistry, physics) and engage in laboratory work and field studies, equipping them for roles in research, industry or postgraduate study."
19,ja,科学の原理、定量的手法、研究スキルを総合的に学ぶ学術的な学位です。生物学、化学、物理学などの専攻を選択し、実験室実習やフィールドスタディを通じて、研究職、産業界、または大学院での学びに必要な基盤を築きます。
19,vi,"Chương trình học thuật rộng, cung cấp nền tảng về nguyên tắc khoa học, phương pháp định lượng và kỹ năng nghiên cứu. Sinh viên chọn chuyên ngành (ví dụ: sinh học, hóa học, vật lý) và tham gia thực nghiệm trong phòng thí nghiệm cũng như nghiên cứu thực địa, chuẩn bị cho nghề nghiệp trong nghiên cứu, công nghiệp hoặc học cao hơn."
20,en,"A professional law degree covering core subjects such as contracts, torts, criminal law and constitutional law. It emphasizes legal reasoning, case analysis and practical skills (e.g., moot court), preparing graduates for legal practice or postgraduate legal qualifications."
20,ja,契約法、不法行為法、刑法、憲法などの基幹科目を網羅する専門職学位です。法的推論や判例分析、模擬裁判などの実践的スキルを重視し、法曹実務または法科大学院でのさらなる学修に備えた知識と能力を育成します。
20,vi,"Chương trình luật chuyên nghiệp bao gồm các môn học chính như hợp đồng, trách nhiệm bồi thường ngoài hợp đồng, luật hình sự và luật hiến pháp. Nhấn mạnh tư duy pháp lý, phân tích án lệ và kỹ năng thực hành (ví dụ: tranh tụng giả định), giúp sinh viên sẵn sàng cho hành nghề luật hoặc học lên sau đại học."
21,en,"An integrated master’s program that combines undergraduate engineering foundations with advanced postgraduate coursework and project work in a continuous course, preparing students for professional accreditation and leadership roles."
21,ja,学部レベルの工学基礎教育と大学院レベルの高度な講義およびプロジェクトを一貫して学ぶプログラムです。専門認定取得やリーダーシップ役割に必要な知識と実践力を修得します。
21,vi,"Chương trình thạc sĩ tích hợp, kết hợp kiến thức nền tảng kỹ thuật ở bậc đại học với các học phần và dự án nâng cao ở bậc sau đại học trong một khóa học liên tục, trang bị cho sinh viên năng lực cấp chứng chỉ nghề nghiệp và kỹ năng lãnh đạo."
22,en,"An integrated master’s program combining foundational undergraduate scientific education with advanced postgraduate coursework and a substantial research project, equipping graduates with specialized expertise and research experience."
22,ja,学部レベルの科学基礎教育を土台に、高度な大学院講義と大規模な研究プロジェクトを組み合わせたプログラムです。専門性と研究経験を備えた人材を育成します。
22,vi,"Chương trình thạc sĩ tích hợp, kết hợp chương trình giáo dục khoa học nền tảng ở bậc đại học với các học phần cao cấp và dự án nghiên cứu quy mô lớn, trang bị cho người học chuyên môn sâu cùng kinh nghiệm nghiên cứu thực tế."
23,en,"An integrated biomedical sciences master’s program that merges core biomedical and laboratory training with advanced specialized modules and a research dissertation, preparing students for roles in clinical research, diagnostics, or biotechnology."
23,ja,基礎的なバイオメディカルおよび実験室トレーニングを、高度な専門科目と研究論文作成と統合したプログラムです。臨床研究、診断分野、バイオテクノロジーで活躍できる能力を養います。
23,vi,"Chương trình thạc sĩ tích hợp về khoa học y sinh, kết hợp đào tạo cốt lõi và thực hành phòng thí nghiệm với các học phần chuyên sâu nâng cao và luận văn nghiên cứu, chuẩn bị cho sinh viên các vai trò trong nghiên cứu lâm sàng, chẩn đoán hoặc công nghệ sinh học."
24,en,"An integrated chemistry master’s program combining broad foundational chemical sciences with advanced specialized modules and a research project, developing analytical, synthetic, and problem-solving skills for professional or research careers."
24,ja,化学の基礎教育を広く学びつつ、高度な専門科目と研究プロジェクトを組み合わせたプログラムです。分析、合成、問題解決のスキルを身につけ、専門職や研究職での活躍に備えます。
24,vi,"Chương trình thạc sĩ tích hợp về hóa học, kết hợp kiến thức nền tảng rộng về khoa học hóa học với các học phần chuyên ngành cao cấp và dự án nghiên cứu, phát triển kỹ năng phân tích, tổng hợp và giải quyết vấn đề cho nghề nghiệp chuyên môn hoặc nghiên cứu."
25,en,"An integrated mathematics master’s program that blends undergraduate mathematical theory and applied methods with advanced postgraduate modules and an extended project, preparing students for analytical roles in academia, finance, or industry."
25,ja,学部レベルの数学理論と応用手法を基盤に、高度な大学院科目と拡張プロジェクトを統合したプログラムです。学術、金融、産業分野での分析的役割に必要な能力を培います。
25,vi,"Chương trình thạc sĩ tích hợp về toán học, kết hợp lý thuyết toán học và phương pháp ứng dụng ở bậc đại học với các học phần sau đại học nâng cao và dự án mở rộng, trang bị cho sinh viên năng lực phân tích trong học thuật, tài chính hoặc công nghiệp."
26,en,"An integrated master’s program blending foundational undergraduate coursework in pure and applied mathematics with advanced studies in statistics and an independent research project, equipping graduates with strong analytical and data-driven skills."
26,ja,純粋数学および応用数学の基礎科目と、高度な統計学の学修および独立研究プロジェクトを統合したプログラムです。強力な分析力とデータ駆動型のスキルを身につけ、学術・金融・産業分野での高度な専門職に備えます。
26,vi,"Chương trình thạc sĩ tích hợp, kết hợp các học phần cơ bản về toán thuần túy và toán ứng dụng ở bậc đại học với những nghiên cứu nâng cao về thống kê và một dự án nghiên cứu độc lập, trang bị cho sinh viên kỹ năng phân tích vững chắc và năng lực xử lý dữ liệu."
27,en,"An integrated master’s program combining core pharmaceutical sciences with clinical practice training and a research dissertation, designed to fulfill professional accreditation requirements and prepare students for careers in pharmacy practice."
27,ja,医薬品科学の基礎教育と臨床実習トレーニング、研究論文作成を一貫して行うプログラムです。専門職認定要件を満たし、薬剤師としての実務能力と研究力を備えた人材を育成します。
27,vi,"Chương trình thạc sĩ tích hợp về dược học, kết hợp kiến thức cốt lõi về khoa học dược với đào tạo thực hành lâm sàng và luận văn nghiên cứu, đáp ứng yêu cầu cấp chứng chỉ hành nghề và chuẩn bị cho sinh viên theo đuổi sự nghiệp nhà dược."
28,en,"An integrated master’s program merging rigorous undergraduate physics theory with advanced topics and a substantial research component, preparing students for research roles or further doctoral study in physics and related fields."
28,ja,学部レベルの物理学理論と高度な専門科目、および重要な研究プロジェクトを統合したプログラムです。物理学分野の研究者や博士後期課程への進学を目指す学生に必要な深い理論知識と実践的研究能力を養います。
28,vi,"Chương trình thạc sĩ tích hợp, kết hợp lý thuyết vật lý nghiêm ngặt ở bậc đại học với các chủ đề cao cấp và thành phần nghiên cứu quy mô lớn, chuẩn bị cho sinh viên đảm nhận các vai trò nghiên cứu hoặc tiếp tục học nghiên cứu sinh tiến sĩ về vật lý và các lĩnh vực liên quan."
29,en,"An integrated master’s program covering the theory and practice of urban and regional planning, incorporating design studios, policy analysis, and a professional project, to prepare graduates for planning accreditation and leadership roles."
29,ja,都市および地域計画の理論と実践を学ぶプログラムで、デザインスタジオ、政策分析、専門的プロジェクトを組み合わせています。計画士としての認定取得やリーダーシップ役割に必要なスキルを修得します。
29,vi,"Chương trình thạc sĩ tích hợp về lý thuyết và thực hành quy hoạch đô thị và vùng, bao gồm các studio thiết kế, phân tích chính sách và dự án chuyên nghiệp, trang bị cho sinh viên năng lực đạt chứng chỉ quy hoạch và đảm nhận các vị trí lãnh đạo trong lĩnh vực này."
30,en,"A professional undergraduate degree combining theoretical instruction in nursing science, health assessment, and patient care with extensive clinical placements across diverse healthcare settings, preparing graduates for registration and practice as registered nurses."
30,ja,看護学理論、健康アセスメント、患者ケアの教育と、幅広い臨床実習を組み合わせた専門職学位です。多様な医療現場での実践経験を通じて、看護師としての登録要件を満たし実務に従事するための能力を養います。
30,vi,"Chương trình cử nhân chuyên nghiệp kết hợp đào tạo lý thuyết về khoa học điều dưỡng, đánh giá sức khỏe và chăm sóc bệnh nhân với các kỳ thực tập lâm sàng đa dạng, chuẩn bị cho sinh viên đủ điều kiện đăng ký hành nghề và làm việc như một y tá có chứng chỉ."
31,en,"An interdisciplinary undergraduate degree examining societies through lenses such as sociology, politics, economics, and cultural studies. Students develop analytical and research skills to understand and address complex social challenges in local and global contexts."
31,ja,社会学、政治学、経済学、文化研究などの視点から社会を多角的に分析する学際的な学部課程です。学生は地域的および国際的文脈で発生する複雑な社会課題を理解し、解決に向けた分析力と研究能力を養います。
31,vi,"Chương trình liên ngành cấp cử nhân, nghiên cứu xã hội qua các lăng kính xã hội học, chính trị học, kinh tế học và nghiên cứu văn hóa. Sinh viên phát triển kỹ năng phân tích và nghiên cứu để hiểu và giải quyết các thách thức xã hội phức tạp ở cả cấp địa phương và toàn cầu."
32,en,"An integrated master’s program that combines undergraduate Earth science foundations with advanced modules in geoscience and a substantial research project, equipping students for careers in environmental consultancy, research, or industry."
32,ja,地球科学の学部基礎教育と高度な地球科学モジュールおよび大規模な研究プロジェクトを統合した修士課程です。環境コンサルティング、研究、産業分野で活躍するために必要な専門知識と実践力を身につけます。
32,vi,"Chương trình thạc sĩ tích hợp, kết hợp kiến thức nền tảng về khoa học Trái Đất ở bậc đại học với các học phần nâng cao về địa khoa học và một dự án nghiên cứu quy mô lớn, trang bị cho sinh viên năng lực làm việc trong tư vấn môi trường, nghiên cứu hoặc ngành công nghiệp."
33,en,"An integrated master’s program combining foundational undergraduate environmental science with advanced postgraduate coursework and a substantial research project, preparing graduates for careers in environmental consultancy, sustainability, or research."
33,ja,環境科学の学部基礎を土台に、高度な大学院講義と充実した研究プロジェクトを組み合わせた修士課程です。環境コンサルティング、持続可能性の推進、研究職など多様なキャリアに対応できる能力を育成します。
33,vi,"Chương trình thạc sĩ tích hợp, kết hợp nền tảng khoa học môi trường ở bậc đại học với các học phần cao cấp và một dự án nghiên cứu chuyên sâu, chuẩn bị cho sinh viên các vị trí trong tư vấn môi trường, phát triển bền vững hoặc nghiên cứu."
34,en,"An integrated master’s program blending core undergraduate training in mathematics and statistics with advanced postgraduate modules and an independent research project, equipping students with strong analytical and data-driven skills for roles in academia, finance, or industry."
34,ja,数学および統計学の学部基礎と高度な大学院科目、独立した研究プロジェクトを融合させた修士課程です。学術、金融、産業分野で求められる強力な分析力とデータ駆動型スキルを身につけます。
34,vi,"Chương trình thạc sĩ tích hợp, kết hợp đào tạo nền tảng về toán và thống kê ở bậc đại học với các học phần sau đại học nâng cao và một dự án nghiên cứu độc lập, giúp sinh viên phát triển kỹ năng phân tích và dựa trên dữ liệu cho các vai trò trong học thuật, tài chính hoặc công nghiệp."
35,en,"An integrated master’s program merging urban and regional planning theory with real estate development principles and professional project work, preparing students for planning accreditation and leadership roles in real estate consultancy or public sector planning."
35,ja,都市・地域計画の理論と不動産開発の原理を統合し、実務プロジェクトを通じて学ぶ修士課程です。不動産コンサルティングや公共部門の計画分野で専門認定を取得し、リーダーシップを発揮できる能力を養成します。
35,vi,"Chương trình thạc sĩ tích hợp, kết hợp lý thuyết quy hoạch đô thị và vùng với các nguyên tắc phát triển bất động sản và dự án chuyên nghiệp, chuẩn bị cho sinh viên năng lực đạt chứng chỉ quy hoạch và đảm nhận vai trò lãnh đạo trong tư vấn bất động sản hoặc quy hoạch công."
36,en,"An integrated master’s program that combines core undergraduate computing theory and practical skills with advanced postgraduate coursework and a substantial capstone project, equipping graduates for specialist roles in software development, research, or IT leadership."
36,ja,学部レベルのコンピューティング理論と実践スキルを基盤に、高度な大学院講義と重要な総合プロジェクトを統合したプログラムです。ソフトウェア開発、研究、ITリーダーシップなどの専門的役割に必要な知識と能力を養います。
36,vi,"Chương trình thạc sĩ tích hợp kết hợp lý thuyết cơ bản về tin học và kỹ năng thực hành với các học phần sau đại học nâng cao cùng một dự án lớn cuối khóa, trang bị cho sinh viên năng lực chuyên môn trong phát triển phần mềm, nghiên cứu hoặc lãnh đạo công nghệ thông tin."
37,en,"A combined undergraduate program integrating core business disciplines—management, finance, marketing—with foundational legal studies and case analysis. Graduates gain versatile skills for roles in business leadership, compliance, or further professional legal qualification."
37,ja,経営管理、ファイナンス、マーケティングなどのビジネスコア科目と、法学基礎および判例分析を組み合わせた学部一貫プログラムです。ビジネスリーダーシップ、コンプライアンス、法科大学院進学など、多様なキャリアに対応できる汎用的なスキルを身につけます。
37,vi,"Chương trình cử nhân kết hợp, tích hợp các môn kinh doanh cốt lõi—quản trị, tài chính, marketing—với kiến thức pháp lý cơ bản và phân tích án lệ. Sinh viên rèn giũa kỹ năng đa dụng để đảm nhận vai trò lãnh đạo doanh nghiệp, tuân thủ quy định hoặc tiếp tục học chuyên sâu luật."
38,en,"An integrated master’s program in Arabic studies that develops advanced language proficiency alongside cultural, literary, and research modules, often including an integrated year abroad, to prepare students for careers in translation, diplomacy, or academia."
38,ja,アラビア語学習を高度な語学運用能力と結びつけ、文化・文学研究や研究モジュールを統合した修士プログラムです。留学期間を含む場合もあり、翻訳、外交、学術研究などの分野で活躍できる専門性を養います。
38,vi,"Chương trình thạc sĩ tích hợp trong lĩnh vực tiếng Ả Rập, phát triển khả năng ngôn ngữ nâng cao song song với các học phần về văn hóa, văn học và nghiên cứu, thường bao gồm cả năm du học tích hợp, chuẩn bị cho sinh viên theo đuổi sự nghiệp trong biên phiên dịch, ngoại giao hoặc học thuật."
39,en,"A professionally oriented undergraduate degree focusing on financial accounting, auditing, taxation, and management accounting. Students learn to prepare, interpret, and communicate financial information, meeting accreditation requirements for chartered or certified accountant pathways."
39,ja,財務会計、監査、税務、管理会計を中心に学ぶ職業志向の学部課程です。財務情報の作成・解釈・報告スキルを習得し、公認会計士や認定会計士など専門資格取得に必要な学術的基盤を提供します。
39,vi,"Chương trình cử nhân hướng nghề nghiệp tập trung vào kế toán tài chính, kiểm toán, thuế và kế toán quản trị. Sinh viên học cách lập, diễn giải và truyền đạt thông tin tài chính, đáp ứng yêu cầu cấp chứng chỉ hành nghề kế toán viên công chứng hoặc chứng nhận."
40,en,A studio-based undergraduate degree emphasizing intensive practical work in visual or performing arts alongside supporting studies in theory and art history. Students build technical skills and creative portfolios to pursue careers as professional artists or designers.
40,ja,視覚芸術やパフォーミングアーツの実践的制作を重視するスタジオベースの学部課程です。理論や美術史の学修と並行して技術を磨き、プロフェッショナルな作品ポートフォリオを構築し、アーティストやデザイナーとしてのキャリアを目指します。
40,vi,"Chương trình cử nhân dựa trên xưởng thực hành, nhấn mạnh công việc thực tiễn chuyên sâu trong nghệ thuật thị giác hoặc biểu diễn, kết hợp với các môn lý thuyết và lịch sử nghệ thuật. Sinh viên xây dựng kỹ năng kỹ thuật và hồ sơ sáng tạo để theo đuổi nghề nghiệp nghệ sĩ hoặc nhà thiết kế chuyên nghiệp."
41,en,"A creative undergraduate degree combining rigorous academic study of music theory, history, and musicology with extensive practical training in performance, composition, and music technology through ensembles, masterclasses, and solo recitals."
41,ja,音楽理論、音楽史、音楽学の厳格な学術的学習と、アンサンブルやマスタークラス、リサイタルを通じた演奏、作曲、音楽技術の実践トレーニングを組み合わせたクリエイティブな学士号です。
41,vi,"Chương trình cử nhân sáng tạo kết hợp nghiên cứu học thuật nghiêm túc về lý thuyết âm nhạc, lịch sử và âm nhạc học với đào tạo thực hành chuyên sâu về biểu diễn, sáng tác và công nghệ âm nhạc qua dàn nhạc, lớp thính phòng và buổi biểu diễn cá nhân."
42,en,"A professionally accredited undergraduate degree integrating theoretical foundations in social justice, ethics, and policy with supervised field placements in community and clinical settings, preparing graduates for registration and practice as social workers."
42,ja,社会的公正、倫理、政策に関する理論的基盤と、地域や臨床現場での指導付きフィールド配置を統合した専門職認定取得可能な学士号です。卒業後はソーシャルワーカーとして登録し、実務に従事できる能力を養います。
